minute,bid,ask
1740808020,85655.42325581358,85655.5246124034
1740808080,85642.98149606315,85643.08149606292
1740808140,85629.82757894756,85629.93115789477
1740808200,85652.79683794487,85652.89683794472
1740808260,85664.55513078463,85664.6657947685
1740808320,85664.32655601641,85664.4265560168
1740808380,85668.49378881983,85668.59565217378
1740808440,85673.70557851237,85673.80557851229
1740808500,85655.9796573874,85656.0798715203
1740808560,85618.9054704594,85619.0076586433
1740808620,85602.45588235284,85602.5558823529
1740808680,85604.70679156912,85604.80960187344
1740808740,85555.36311475391,85555.46311475422
1740808800,85549.01022727278,85549.1168560605
1740808860,85506.31719367593,85506.41739130426
1740808920,85500.84144736866,85500.95328947368
1740808980,85495.24884696022,85495.35052410909
1740809040,85493.22200435761,85493.32200435735
1740809100,85529.774526316,85529.8789473684
1740809160,85563.06784968672,85563.16784968702
1740809220,85603.11045081953,85603.21106557387
1740809280,85581.76687898098,85581.86751592354
1740809340,85519.17912844039,85519.28188073396
1740809400,85487.67903614453,85487.7790361445
1740809460,85467.31351351338,85467.41517671525
1740809520,85424.2422448979,85424.34244897933
1740809580,85408.43202933973,85408.53202933985
1740809640,85396.94755838666,85397.0549893843
1740809700,85388.72475633542,85388.83060428844
1740809760,85382.13422053229,85382.23726235743
1740809820,85399.14796116514,85399.2485436893
1740809880,85383.39958333339,85383.49958333335
1740809940,85330.33358208966,85330.43358208954
1740810000,85239.82608695647,85239.93586956525
1740810060,85237.07227533472,85237.17323135774
1740810120,85292.88040000005,85292.98619999994
1740810180,85330.62623655924,85330.73161290317
1740810240,85394.0026369167,85394.13793103454
1740810300,85382.05056179779,85382.15056179791
1740810360,85311.95838150285,85312.063583815
1740810420,85243.7905737704,85243.89651639349
1740810480,85243.85675105485,85243.95738396628
1740810540,85233.52450765869,85233.62450765846
1740810600,85237.7236514524,85237.82385892113
1740810660,85113.38047445269,85113.53010948907
1740810720,85020.05636042412,85020.16713780923
1740810780,85003.01238447326,85003.11682070239
1740810840,84955.84207547166,84955.95188679235
1740810900,84902.3176156583,84902.47277580076
1740810960,84994.76053097333,84994.86548672564
1740811020,84948.60804387576,84948.7184643509
1740811080,84992.05560000011,84992.15560000006
1740811140,84986.56167664673,84986.66247504989
1740811200,84988.29038854806,84988.39161554196
1740811260,84978.51483739843,84978.6156504064
1740811320,84982.15121951223,84982.25121951243
1740811380,84995.54494163436,84995.64513618681
1740811440,85002.94625984253,85003.04645669287
1740811500,85023.85834970538,85023.97504911596
1740811560,85039.68663967618,85039.7902834008
1740811620,85001.74877126658,85001.8659735352
1740811680,84983.86865342164,84983.96865342143
1740811740,84956.8180112571,84956.9181988742
1740811800,84970.2138702459,84970.32416107394
1740811860,84976.73765957447,84976.84638297865
1740811920,84955.327777778,84955.42777777788
1740811980,84941.42451612931,84941.5247311829
1740812040,84973.860178971,84973.96017897091
1740812100,84949.35711206902,84949.46012931032
1740812160,84958.30778947369,84958.40778947363
1740812220,84942.15483146072,84942.25595505616
1740812280,85003.92718253989,85004.02916666665
1740812340,85012.05471698122,85012.15471698104
1740812400,84990.60206611562,84990.70206611566
1740812460,84955.10270793037,84955.2050290134
1740812520,84940.30153550839,84940.40153550892
1740812580,84932.39412915864,84932.495890411
1740812640,84926.68948453621,84926.793402062
1740812700,84944.76739130438,84944.88717391298
1740812760,84912.78468634677,84912.90977859774
1740812820,84911.25753715522,84911.35753715513
1740812880,84922.29137931038,84922.41831896547
1740812940,84923.19959016395,84923.31004098347
1740813000,84919.92329896905,84920.02329896898
1740813060,84929.32037037038,84929.42037037034
1740813120,84916.2416044773,84916.34160447787
1740813180,84911.92854406127,84912.02931034457
1740813240,84911.83832335359,84911.94131736543
1740813300,84930.15347826097,84930.25347826084
1740813360,84922.8304635762,84922.93046357612
1740813420,84911.42469635617,84911.5246963565
1740813480,84909.2864341085,84909.38643410872
1740813540,84908.56772727259,84908.67204545469
1740813600,84914.09155206275,84914.20530451857
1740813660,84929.81431451596,84929.91471774176
1740813720,84906.5033970276,84906.60721868374
1740813780,84906.64142011844,84906.75029585829
1740813840,84956.59681908548,84956.69781312121
1740813900,84944.4152719665,84944.51527196646
1740813960,84943.11020833347,84943.21020833333
1740814020,84970.7893280633,84970.89328063255
1740814080,84963.3633986928,84963.46448801742
1740814140,84940.04113636365,84940.1411363635
1740814200,84926.71830708643,84926.81850393697
1740814260,84927.96767068292,84928.0710843373
1740814320,84912.29828897334,84912.40380228129
1740814380,84904.83184466038,84904.93184466023
1740814440,84910.1926732674,84910.31386138624
1740814500,84904.59757084987,84904.69757085049
1740814560,84908.34291417159,84908.44331337341
1740814620,84836.98747731412,84837.10018148817
1740814680,84715.80091240871,84715.91076642346
1740814740,84725.01844106459,84725.12490494309
1740814800,84753.9045889103,84754.00458891015
1740814860,84763.8583864119,84763.96475583847
1740814920,84801.17372549031,84801.2774509805
1740814980,84800.88884210541,84800.99915789474
1740815040,84782.09221967946,84782.19221967967
1740815100,84780.73528138535,84780.83852813866
1740815160,84762.97715617715,84763.07995337981
1740815220,84816.29152892565,84816.39421487594
1740815280,84808.55720430108,84808.65741935487
1740815340,84826.41521739138,84826.51521739137
1740815400,84810.27971014507,84810.38260869574
1740815460,84864.54977477467,84864.64977477482
1740815520,84830.71867881544,84830.83006833735
1740815580,84811.91702127666,84812.01702127673
1740815640,84762.06897959196,84762.17142857148
1740815700,84743.48442822398,84743.59586374696
1740815760,84740.43757575755,84740.53757575761
1740815820,84713.45242494237,84713.55242494217
1740815880,84712.14416243655,84712.26167512692
1740815940,84695.21882951655,84695.32137404571
1740816000,84730.44003831428,84730.54099616854
1740816060,84801.33930753563,84801.43930753582
1740816120,84812.08468899532,84812.18468899532
1740816180,84857.54752475228,84857.65425742588
1740816240,84912.91049822074,84913.0419928824
1740816300,84921.5491395791,84921.64913957957
1740816360,84931.41294363236,84931.5137787059
1740816420,84942.63655030793,84942.73655030798
1740816480,84965.64268041262,84965.74391752576
1740816540,84964.88100000001,84964.98099999977
1740816600,84938.663861386,84938.76386138609
1740816660,84936.83261339088,84936.9326133909
1740816720,84939.881818182,84939.98181818184
1740816780,84957.11320346296,84957.21320346344
1740816840,84963.65340909097,84963.75386363643
1740816900,84979.02997858688,84979.12997858688
1740816960,85043.90734463287,85044.01242937858
1740817020,85086.22448979602,85086.32653061218
1740817080,85110.30683111935,85110.40834914602
1740817140,85147.5912801485,85147.69128014844
1740817200,85101.40454545467,85101.50795454546
1740817260,85065.21193737778,85065.31193737756
1740817320,85087.33730158716,85087.44107142874
1740817380,85174.63763440866,85174.74534050183
1740817440,85204.36800000019,85204.46857142853
1740817500,85154.49887218053,85154.60338345861
1740817560,85214.89439252345,85214.99551401868
1740817620,85206.68823529407,85206.78937381407
1740817680,85199.21043083901,85199.31088435356
1740817740,85152.39589632818,85152.49589632834
1740817800,85128.80276679846,85128.90276679833
1740817860,85156.05185995628,85156.15207877448
1740817920,85165.68219178077,85165.78242009124
1740817980,85172.53127962069,85172.6317535546
1740818040,85227.48451612893,85227.58451612922
1740818100,85250.729589633,85250.82958963285
1740818160,85242.78581235699,85242.88581235707
1740818220,85218.340625,85218.44062499978
1740818280,85189.8778781041,85189.9841986457
1740818340,85178.27995169094,85178.37995169082
1740818400,85124.58571428576,85124.69168443476
1740818460,85126.29189189192,85126.391891892
1740818520,85067.23611111115,85067.34230769225
1740818580,85036.56535796764,85036.6653579678
1740818640,85053.99555555554,85054.10222222212
1740818700,85065.00796252918,85065.11475409837
1740818760,85034.61062355652,85034.72240184736
1740818820,84998.59639639636,84998.69639639634
1740818880,85035.07550561798,85035.17910112365
1740818940,85087.65952890804,85087.75952890783
1740819000,85149.42367346947,85149.52877551022
1740819060,85220.18960000003,85220.29119999982
1740819120,85215.51322869943,85215.61322869959
1740819180,85222.22499999998,85222.32765486707
1740819240,85212.72349570197,85212.82349570196
1740819300,85239.02431192671,85239.14128440364
1740819360,85252.58349514549,85252.68543689311
1740819420,85280.38549107123,85280.48883928588
1740819480,85291.65740740747,85291.75740740719
1740819540,85289.67767857148,85289.77767857128
1740819600,85257.03084112138,85257.13294392521
1740819660,85241.42733644843,85241.52733644881
1740819720,85275.27927565384,85275.37927565408
1740819780,85247.34308035705,85247.443080357
1740819840,85229.50386363645,85229.60386363657
1740819900,85232.49889867859,85232.59889867864
1740819960,85267.2672340424,85267.3672340426
1740820020,85273.86155717733,85273.96155717787
1740820080,85284.85629139062,85284.9562913907
1740820140,85305.44825986076,85305.54825986072
1740820200,85323.82131979697,85323.93527918789
1740820260,85385.94881422918,85386.04881422914
1740820320,85347.85491071422,85347.95491071416
1740820380,85314.75963718824,85314.85963718816
1740820440,85309.19143518533,85309.29143518517
1740820500,85322.88000000003,85322.98209302327
1740820560,85352.23671875008,85352.33671874994
1740820620,85373.53917525779,85373.63917525763
1740820680,85384.87006802735,85384.97233560083
1740820740,85432.06076458766,85432.16096579471
1740820800,85449.6086294418,85449.70862944158
1740820860,85445.04560975623,85445.14609756088
1740820920,85395.50147783231,85395.60369458135
1740820980,85396.26232227504,85396.36303317528
1740821040,85364.38651399489,85364.48651399503
1740821100,85383.3941964285,85383.49441964293
1740821160,85416.05527522926,85416.15527522944
1740821220,85403.4366445915,85403.53907284793
1740821280,85438.41751662991,85438.51796008865
1740821340,85437.40618101553,85437.50618101544
1740821400,85402.36624203823,85402.46730360948
1740821460,85366.65151515155,85366.75151515155
1740821520,85373.03567839217,85373.13668341728
1740821580,85344.09306722695,85344.19474789912
1740821640,85310.56858316231,85310.67022587272
1740821700,85309.27906976739,85309.38160676548
1740821760,85295.59631236459,85295.69761388286
1740821820,85264.88321342944,85264.98369304555
1740821880,85310.56993166293,85310.6790432801
1740821940,85304.41716417915,85304.51716417901
1740822000,85273.63482142871,85273.74040178563
1740822060,85220.1892405061,85220.28924050636
1740822120,85205.70271398746,85205.80271398732
1740822180,85182.87156862726,85182.97156862749
1740822240,85160.29725738392,85160.40063291109
1740822300,85140.3967213116,85140.49672131152
1740822360,85115.33229166667,85115.43229166651
1740822420,85091.6513513513,85091.75135135121
1740822480,85136.98901960794,85137.09019607858
1740822540,85169.15522388062,85169.25692963762
1740822600,85238.85962343086,85238.96589958141
1740822660,85290.65911823651,85290.75911823632
1740822720,85269.04018058683,85269.14424379217
1740822780,85299.54355179693,85299.6435517969
1740822840,85304.25948827293,85304.36012793165
1740822900,85293.92529274018,85294.02529274015
